Date,ABCINDQ.BO,ACLGATI.BO,ADANIPORTS.BO,ALLCARGO.BO,ASHOKRE.BO,ATL.BO,AVG.BO,AWHCL.BO,BALTE.BO,BINNY.BO,BLUEDART.BO,CARGOSOL.BO,CARGOTRANS.BO,CHLOGIST.BO,CHOWGULSTM.BO,COARO.BO,COASTCORP.BO,CONCOR.BO,CONTAINER.BO,CORPOCO.BO,DELHIVERY.BO,DREAMFOLKS.BO,DREDGECORP.BO,EASTWEST.BO,ESSARSHPNG.BO,FLOMIC.BO,FMNL.BO,FORINTL.BO,FSC.BO,GESHIP.BO,GMRINFRA.BO,GPPL.BO,INDIGO.BO,INTSTOIL.BO,JETAIRWAYS.BO,JETFREIGHT.BO,JITFINFRA.BO,LANCER.BO,MAHLOG.BO,MEGACOR.BO,MEP.BO,MFLINDIA.BO,NATHUEC.BO,NAVKARCORP.BO,NECCLTD.BO,OBCL.BO,PATINTLOG.BO,PRIMEFRESH.BO,RIDDHICORP.BO,RITCO.BO,RUCHINFRA.BO,SANCTRN.BO,SCI.BO,SEACOAST.BO,SHAHISHIP.BO,SHREYAS.BO,SICALLOG.BO,SINDHUTRAD.BO,SMARITIME.BO,SPICEJET.BO,STARLOG.BO,STL.BO,TAALENT.BO,TCI.BO,TCIEXP.BO,TIGERLOGS.BO,TRANSVOY.BO,TVSSCS.BO,VRLLOG.BO,ZOMATO.BO
01-12-2023- 00:00:00,92.0,135.89999389648438,827.5499877929688,66.2874984741211,4.539999961853027,72.79000091552734,316.54998779296875,492.70001220703125,17.540000915527344,218.4499969482422,7029.75,52.349998474121094,83.0,4.820000171661377,13.819999694824219,37.630001068115234,248.9499969482422,784.8499755859375,9.359999656677246,2.2699999809265137,397.1000061035156,555.3499755859375,513.6500244140625,8.770000457763672,17.469999313354492,81.16000366210938,5.550000190734863,31.0,11.119999885559082,870.1500244140625,60.86000061035156,142.10000610351562,2743.550048828125,42.5,57.13999938964844,11.539999961853027,561.7000122070312,92.13999938964844,361.75,2.259999990463257,13.079999923706055,0.7400000095367432,9.800000190734863,94.26000213623047,31.290000915527344,58.290000915527344,17.399999618530273,292.0,125.4000015258789,252.35000610351562,11.25,687.9000244140625,146.6999969482422,5.619999885559082,8.569999694824219,289.8500061035156,285.0,27.530000686645508,80.83000183105469,46.95000076293945,31.219999313354492,68.06999969482422,3195.60009765625,856.0999755859375,1400.3499755859375,542.8499755859375,61.59000015258789,206.5500030517578,717.5499877929688,116.25
04-12-2023- 00:00:00,92.13999938964844,138.9499969482422,878.75,66.4749984741211,4.539999961853027,72.79000091552734,319.8999938964844,479.20001220703125,18.010000228881836,211.85000610351562,7152.64990234375,52.349998474121094,83.0,5.099999904632568,14.0600004196167,39.5099983215332,249.85000610351562,800.8499755859375,9.359999656677246,2.380000114440918,399.6499938964844,558.0,517.75,8.770000457763672,20.959999084472656,81.16000366210938,5.550000190734863,31.049999237060547,10.569999694824219,891.5999755859375,62.25,145.1999969482422,2818.800048828125,42.150001525878906,55.81999969482422,11.779999732971191,556.3499755859375,91.43000030517578,365.6000061035156,2.2200000286102295,12.880000114440918,0.7400000095367432,9.609999656677246,88.30999755859375,31.5,59.09000015258789,16.8799991607666,292.0,122.9000015258789,257.20001220703125,11.0,683.0,155.9499969482422,5.619999885559082,8.569999694824219,291.5,279.5,28.84000015258789,80.83000183105469,46.279998779296875,32.150001525878906,65.25,3248.949951171875,867.5499877929688,1410.300048828125,517.2999877929688,61.59000015258789,208.5500030517578,716.1500244140625,117.30000305175781
05-12-2023- 00:00:00,91.38999938964844,137.39999389648438,1011.8499755859375,67.92500305175781,4.539999961853027,72.79000091552734,344.0,469.79998779296875,18.010000228881836,208.5,7208.85009765625,52.349998474121094,83.0,4.889999866485596,14.430000305175781,41.47999954223633,249.0,798.3499755859375,9.359999656677246,2.380000114440918,392.79998779296875,548.5499877929688,508.5,8.770000457763672,25.149999618530273,81.16000366210938,5.550000190734863,31.09000015258789,10.140000343322754,900.0999755859375,62.119998931884766,144.5500030517578,2842.0,41.31999969482422,55.439998626708984,11.5,545.5499877929688,90.19999694824219,362.75,2.200000047683716,12.850000381469727,0.7400000095367432,9.420000076293945,92.01000213623047,31.420000076293945,62.59000015258789,17.3799991607666,292.0,120.5,266.25,11.550000190734863,676.9000244140625,154.6999969482422,5.619999885559082,8.569999694824219,294.70001220703125,273.95001220703125,28.600000381469727,80.83000183105469,45.220001220703125,32.790000915527344,67.05999755859375,3136.85009765625,869.1500244140625,1417.300048828125,560.0,61.59000015258789,209.10000610351562,711.5499877929688,116.6500015258789
06-12-2023- 00:00:00,95.87999725341797,138.35000610351562,1018.6500244140625,67.3125,4.539999961853027,72.79000091552734,339.70001220703125,459.79998779296875,17.75,205.35000610351562,7254.89990234375,52.349998474121094,83.0,4.800000190734863,14.850000381469727,43.54999923706055,252.10000610351562,799.4000244140625,9.359999656677246,2.380000114440918,382.29998779296875,544.9000244140625,512.25,8.770000457763672,27.65999984741211,81.16000366210938,5.510000228881836,31.040000915527344,10.59000015258789,887.1500244140625,61.349998474121094,151.1999969482422,2871.199951171875,42.13999938964844,55.34000015258789,11.710000038146973,537.5999755859375,89.75,360.1499938964844,2.2200000286102295,12.640000343322754,0.7400000095367432,9.420000076293945,95.70999908447266,31.299999237060547,64.41000366210938,17.010000228881836,292.0,118.0999984741211,255.5500030517578,12.119999885559082,686.8499755859375,155.75,5.619999885559082,8.569999694824219,297.1000061035156,275.5,28.860000610351562,80.83000183105469,43.58000183105469,32.38999938964844,63.75,3125.64990234375,867.0,1404.050048828125,559.0499877929688,61.59000015258789,207.64999389648438,710.8499755859375,118.9000015258789
07-12-2023- 00:00:00,111.16999816894531,137.8000030517578,1039.550048828125,67.42500305175781,4.539999961853027,72.79000091552734,354.20001220703125,469.6000061035156,17.81999969482422,208.35000610351562,7295.4501953125,52.349998474121094,83.0,5.760000228881836,15.130000114440918,45.720001220703125,257.54998779296875,841.9000244140625,9.359999656677246,2.380000114440918,386.54998779296875,536.7999877929688,562.8499755859375,8.770000457763672,27.6200008392334,81.16000366210938,5.539999961853027,31.34000015258789,10.140000343322754,891.3499755859375,61.65999984741211,155.35000610351562,2879.35009765625,42.5,58.099998474121094,11.729999542236328,564.4500122070312,89.63999938964844,360.25,2.25,12.329999923706055,0.7400000095367432,9.420000076293945,97.98999786376953,30.239999771118164,62.36000061035156,16.770000457763672,292.0,120.44999694824219,286.04998779296875,12.720000267028809,674.7999877929688,159.0500030517578,5.619999885559082,8.569999694824219,295.6000061035156,271.54998779296875,28.729999542236328,80.83000183105469,52.290000915527344,35.61000061035156,62.27000045776367,3156.5,852.2000122070312,1397.9000244140625,554.8499755859375,61.59000015258789,207.85000610351562,702.2999877929688,121.80000305175781
08-12-2023- 00:00:00,101.56999969482422,137.3000030517578,1022.5999755859375,67.3499984741211,4.539999961853027,72.79000091552734,344.70001220703125,462.8500061035156,17.510000228881836,212.5500030517578,7385.5,52.349998474121094,83.0,6.369999885559082,14.8100004196167,48.0,255.10000610351562,842.9500122070312,9.359999656677246,2.380000114440918,384.6499938964844,534.25,560.0499877929688,8.770000457763672,25.889999389648438,81.16000366210938,5.710000038146973,31.299999237060547,10.489999771118164,893.7999877929688,68.88999938964844,150.5,2898.550048828125,41.650001525878906,61.0,11.75,591.3499755859375,90.27999877929688,381.6000061035156,2.240000009536743,12.40999984741211,0.7300000190734863,9.0600004196167,95.16000366210938,30.59000015258789,60.02000045776367,16.790000915527344,292.0,122.8499984741211,278.6000061035156,13.350000381469727,683.2000122070312,161.0500030517578,5.619999885559082,8.569999694824219,293.20001220703125,266.1499938964844,28.09000015258789,80.83000183105469,54.970001220703125,39.16999816894531,64.45999908447266,3163.10009765625,836.3499755859375,1403.550048828125,569.5999755859375,61.59000015258789,206.6999969482422,709.0,119.9000015258789
11-12-2023- 00:00:00,103.22000122070312,136.1999969482422,1031.4000244140625,67.4749984741211,4.539999961853027,72.79000091552734,345.1000061035156,459.54998779296875,17.8799991607666,216.6999969482422,7503.35009765625,52.349998474121094,83.0,7.340000152587891,14.609999656677246,50.400001525878906,266.3500061035156,844.5999755859375,9.359999656677246,2.359999895095825,384.70001220703125,534.9000244140625,570.5999755859375,8.770000457763672,27.020000457763672,81.16000366210938,5.610000133514404,31.450000762939453,10.529999732971191,878.7000122070312,73.11000061035156,148.9499969482422,2926.10009765625,42.47999954223633,64.05000305175781,11.819999694824219,593.4500122070312,90.29000091552734,377.1000061035156,2.2200000286102295,12.529999732971191,0.7699999809265137,8.880000114440918,95.30999755859375,32.11000061035156,62.08000183105469,20.139999389648438,292.0,128.9499969482422,285.20001220703125,13.979999542236328,680.9500122070312,161.1999969482422,5.619999885559082,8.569999694824219,288.54998779296875,260.8500061035156,28.450000762939453,80.83000183105469,60.56999969482422,39.91999816894531,62.43000030517578,3132.300048828125,839.75,1402.1500244140625,567.9000244140625,61.59000015258789,207.39999389648438,695.1500244140625,118.3499984741211
12-12-2023- 00:00:00,107.6500015258789,138.60000610351562,1042.050048828125,67.23750305175781,4.539999961853027,72.79000091552734,344.3500061035156,445.45001220703125,17.5,214.85000610351562,7498.10009765625,52.349998474121094,83.0,7.699999809265137,14.6899995803833,52.900001525878906,269.20001220703125,855.7999877929688,9.359999656677246,2.359999895095825,374.29998779296875,536.3499755859375,591.5499877929688,8.770000457763672,27.139999389648438,81.16000366210938,5.610000133514404,30.920000076293945,10.15999984741211,876.5499877929688,71.93000030517578,151.0,2931.89990234375,43.20000076293945,61.959999084472656,11.84000015258789,602.4500122070312,89.62000274658203,389.45001220703125,2.180000066757202,12.25,0.7799999713897705,8.710000038146973,95.55000305175781,33.709999084472656,60.91999816894531,20.75,292.0,135.3000030517578,279.45001220703125,13.710000038146973,680.9500122070312,157.85000610351562,5.619999885559082,8.569999694824219,282.8500061035156,256.0,30.049999237060547,80.83000183105469,58.040000915527344,37.150001525878906,64.51000213623047,3095.050048828125,828.9000244140625,1398.449951171875,557.6500244140625,61.59000015258789,203.89999389648438,714.6500244140625,116.69999694824219
13-12-2023- 00:00:00,115.19999694824219,138.9499969482422,1063.3499755859375,67.8375015258789,4.539999961853027,72.79000091552734,345.8999938964844,451.20001220703125,18.170000076293945,214.1999969482422,7393.5498046875,52.349998474121094,83.0,8.289999961853027,14.329999923706055,50.2599983215332,272.79998779296875,864.5999755859375,9.359999656677246,2.359999895095825,374.54998779296875,543.4000244140625,602.3499755859375,8.770000457763672,26.610000610351562,81.16000366210938,5.690000057220459,31.440000534057617,10.529999732971191,857.0,77.13999938964844,151.35000610351562,2982.5,42.34000015258789,58.869998931884766,13.020000457763672,594.6500244140625,88.0999984741211,387.20001220703125,2.140000104904175,12.350000381469727,0.9300000071525574,8.880000114440918,96.19999694824219,35.38999938964844,60.689998626708984,20.1200008392334,292.0,135.8000030517578,274.1000061035156,13.4399995803833,684.0,156.9499969482422,5.619999885559082,8.569999694824219,279.6000061035156,250.89999389648438,29.25,80.83000183105469,57.369998931884766,35.25,60.709999084472656,3117.25,821.1500244140625,1404.550048828125,577.5999755859375,61.59000015258789,204.25,728.5999755859375,120.0
14-12-2023- 00:00:00,119.5,137.3000030517578,1074.25,67.42500305175781,4.539999961853027,72.79000091552734,353.20001220703125,450.8500061035156,19.059999465942383,209.39999389648438,7313.25,52.349998474121094,83.0,8.84000015258789,14.260000228881836,50.2599983215332,267.8500061035156,875.9500122070312,9.359999656677246,2.359999895095825,369.20001220703125,549.9500122070312,596.0,8.770000457763672,29.270000457763672,81.16000366210938,5.650000095367432,31.459999084472656,10.770000457763672,857.4500122070312,77.12999725341797,154.25,2979.89990234375,41.599998474121094,57.400001525878906,12.970000267028809,585.6500244140625,87.08000183105469,397.79998779296875,2.2100000381469727,12.199999809265137,1.0700000524520874,8.880000114440918,93.63999938964844,35.310001373291016,61.34000015258789,24.139999389648438,292.0,140.39999389648438,271.45001220703125,13.180000305175781,685.0,156.3000030517578,5.619999885559082,8.569999694824219,278.6499938964844,246.89999389648438,29.75,80.83000183105469,55.619998931884766,36.02000045776367,60.86000061035156,3085.5,809.2999877929688,1405.25,587.0499877929688,61.59000015258789,209.5,766.0999755859375,124.0999984741211
