Ticker,Description,Sector,Exchange
BFSI,MIRAEAMC - MAFSETF,Miscellaneous,NSE
SYNOPTICS,SYNOPTICS TECHNOLO,Technology Services,NSE
PTC,PTC INDIA LTD,Utilities,NSE
CONCOR,CONTAINER CORP,Transportation,NSE
ALPHAGEO,ALPHAGEO(INDIA),Industrial Services,NSE
REDTAPE,REDTAPE LTD,Retail Trade,NSE
VOLTAMP,VOLTAMP TRANSFORME,Producer Manufacturing,NSE
AMBIKCO,AMBIKA COTTON MILL,Process Industries,NSE
HCG,HEALTHCARE GLOBAL,Health Services,NSE
TARACHAND,TARA CHAND INFRA,Finance,NSE
EXCELINDUS,EXCEL INDUSTRIES,Process Industries,NSE
ACL,ANDHRA CEMENTS LTD,Non-Energy Minerals,NSE
RPOWER,RELIANCE POWER,Utilities,NSE
HNGSNGBEES,NIPPON INDIA MF,Miscellaneous,NSE
RAMAPHO,RAMA PHOSPHATES LTD,Process Industries,NSE
FORTIS,FORTIS HLTH (INDIA,Health Services,NSE
J_KBANK,JAMMU & KASHMIR BA,Finance,NSE
SAGARDEEP,SAGARDEEP ALLOYS L,Non-Energy Minerals,NSE
RBA,RESTAURANT BRAND ASIA LTD,Consumer Services,NSE
KOTYARK,KOTYARK INDUSTRIES,Process Industries,NSE
BANDHANBNK,BANDHAN BANK LTD,Finance,NSE
UCL,USHANTI COLOUR CHE,Process Industries,NSE
SANGAMIND,SANGAM INDIA,Process Industries,NSE
BYKE,THE BYKE HOSPITALI,Consumer Services,NSE
POWERINDIA,HITACHI ENERGY IND,Electronic Technology,NSE
INDIANHUME,INDIAN HUME PIPE,Producer Manufacturing,NSE
NIFTYBEES,NIPPON INDIA MF,Miscellaneous,NSE
BCLIND,BCL INDUSTRIES LTD,Consumer Non-Durables,NSE
QUINTEGRA,QUINTEGRA SOLUTION,Technology Services,NSE
HCL_INSYS,HCL INFOSYSTEMS,Technology Services,NSE
HIGREEN,HI-GREEN CARBON LI,Industrial Services,NSE
VISAKAIND,VISAKA IND,Process Industries,NSE
AXISBPSETF,AXISAMC - AXISBPSETF,,NSE
AUTOIND,AUTOLINE INDUSTRIE,Producer Manufacturing,NSE
