NIFTY 20,NIFTY 50,NIFTY NEXT 50,NIFTY 200,NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDSMALLCAP 400,NIFTY TOTAL MARKET,NIFTY 200 cv,NSC ALL,BSE ALL
,,,,,,RALLIS,PRICOLLTD,,BRITANNIA,LAKPRE
,,,,,,JYOTHYLAB,BERGEPAINT,,BRNL,ARMANFIN
,,,,,,POLYCAB,CONCOR,,BROOKS,INDOCITY
,,,,,,OBEROIRLTY,SBCL,,BSE,INTEGRAEN
,,,,,,ISEC,CUMMINSIND,,BSL,TFCILTD
,,,,,,KARURVYSYA,ANANTRAJ,,BSLGOLDETF,JMJFIN
,,,,,,SOLARINDS,DALMIASUG,,BSLNIFTY,QUEST
,,,,,,IBREALEST,HINDUNILVR,,BSLSENETFG,MUZALI
,,,,,,BALAMINES,BOSCHLTD,,BSOFT,RELICAB
,,,,,,MAHINDCIE,GPIL,,BTML,WOODSVILA
,,,,,,JUSTDIAL,CARYSIL,,BURNPUR,
,,,,,,RATNAMANI,ECLERX,,BUTTERFLY,YESBANK
,,,,,,YESBANK,TIDEWATER,,BVCL,TIMESGREEN
,,,,,,FDC,VSTIND,,BYKE,SHIVACEM
,,,,,,TTML,VALIANTORG,,CALSOFT,BHAGCHEM
,,,,,,IBULHSGFIN,DABUR,,CAMLINFINE,CANBK
,,,,,,SUNTECK,GLENMARK,,CAMPUS,GUJPETR
,,,,,,INGERRAND,KEI,,CAMS,NATPLASTI
,,,,,,TEAMLEASE,GPPL,,CANBK,ANJANIFOODS
,,,,,,MANAPPURAM,THERMAX,,CANFINHOME,APOORVA
,,,,,,NHPC,HDFCLIFE,,CANTABIL,INFOMEDIA
,,,,,,PAYTM,IFCI,,CAPACITE,COSMOFIRST
,,,,,,SUMICHEM,RAIN,,CAPLIPOINT,COLPAL
,,,,,,ALKYLAMINE,ABB,,CAPTRUST,GOODRICKE
,,,,,,SUNTV,BALRAMCHIN,,CARBORUNIV,AVAILFC
,,,,,,GUJALKALI,BEL,,CAREERP,SANDUPHQ
,,,,,,JAMNAAUTO,KIRLFER,,CARERATING,HIRAUTO
,,,,,,GRINDWELL,INFY,,CARTRADE,DHPIND
,,,,,,TTKPRESTIG,CGPOWER,,CARYSIL,MAZDOCK
,,,,,,MTARTECH,EIHOTEL,,CASTROLIND,NIEHSPA
,,,,,,VMART,WIPRO,,CCHHL,SECURCRED
,,,,,,NBCC,APOLLOHOSP,,CCL,SIGACHI
,,,,,,RAYMOND,GOODYEAR,,CDSL,CAPPIPES
,,,,,,MMTC,NATCOPHARM,,CEATLTD,LUDLOWJUT
,,,,,,SAIL,HGINFRA,,CELEBRITY,ULTRACAB
,,,,,,INDIGOPNTS,HARSHA,,CENTENKA,NUVOCO
,,,,,,PEL,CANBK,,CENTEXT,APTUS
,,,,,,BLUESTARCO,RELAXO,,CENTRALBK,BDH
,,,,,,AMBER,UTIAMC,,CENTRUM,PANTH
,,,,,,MEDPLUS,ASHOKLEY,,CENTUM,CONCORD
,,,,,,METROBRAND,UBL,,CENTURYPLY,SAB
,,,,,,NETWORK18,COROMANDEL,,CENTURYTEX,SHARPLINE
,,,,,,AARTIDRUGS,ELECON,,CERA,SHREYAS
,,,,,,GSPL,BASF,,CEREBRAINT,NEOINFRA
,,,,,,SHYAMMETL,CUB,,CESC,VICTMILL
,,,,,,GODFRYPHLP,KAJARIACER,,CGCL,DHANCOT
,,,,,,JUBLFOOD,MAITHANALL,,CGPOWER,
,,,,,,ABFRL,BATAINDIA,,CHALET,GANHOLD
,,,,,,POLYPLEX,PGHH,,CHAMBLFERT,ICICITECH
,,,,,,HUDCO,ETHOSLTD,,CHEMBOND,VALLEY
,,,,,,CASTROLIND,PURVA,,CHEMCON,JK AGRI
,,,,,,CGCL,PAGEIND,,CHEMFAB,KGPETRO
,,,,,,JUBLPHARMA,DALBHARAT,,CHEMPLASTS,KMCSHIL
,,,,,,PHOENIXLTD,ITI,,CHENNPETRO,LIPPISYS
,,,,,,TV18BRDCST,ACI,,CHEVIOT,WINROC
,,,,,,AETHER,GLOBUSSPR,,CHOICEIN,PLASTIBLEN
,,,,,,HIKAL,CIPLA,,CHOLAFIN,PHCAP
,,,,,,ROSSARI,DELTACORP,,CHOLAHLDNG,POLYCAB
,,,,,,ZYDUSLIFE,VOLTAMP,,CIGNITITEC,MEFCOMCAP
,,,,,,IFBIND,ASTERDM,,CINELINE,RASIELEC
,,,,,,MAHLOG,TITAN,,CINEVISTA,RISHDIGA
,,,,,,IDFCFIRSTB,BANDHANBNK,,CIPLA,SALAUTO
,,,,,,GARFIBRES,ZEEL,,CLEAN,SML
,,,,,,IDFC,HLEGLAS,,CLEDUCATE,TARSONS
,,,,,,APTUS,LTIM,,CLSEL,VISHNU
,,,,,,EMAMILTD,THOMASCOOK,,CMICABLES,
,,,,,,AUBANK,CHAMBLFERT,,CMSINFO,
,,,,,,DEVYANI,MOTILALOFS,,COALINDIA,SASKEN
,,,,,,ZENSARTECH,RATEGAIN,,COASTCORP,INTLCONV
,,,,,,CENTURYPLY,BEPL,,COCHINSHIP,
,,,,,,CERA,KIRIINDUS,,COFFEEDAY,VINTRON
,,,,,,VIJAYA,ADANIGREEN,,COFORGE,TARC
,,,,,,ENGINERSIN,TMB,,COLPAL,TRANSPEK
,,,,,,CSBBANK,AARTIIND,,COMPINFO,KRITINUT
,,,,,,DEEPAKFERT,SOTL,,COMPUSOFT,UTTAMSUGAR
,,,,,,ROUTE,FLUOROCHEM,,CONCOR,WOMENNET
,,,,,,PRSMJOHNSN,METROPOLIS,,CONFIPET,EQUIPPP
,,,,,,RAMCOCEM,SBIN,,CONSOFINVT,MIDWEST
,,,,,,STLTECH,DCMSHRIRAM,,CONSUMBEES,HINDPETRO
,,,,,,STARHEALTH,TATACHEM,,CONTROLPR,SILVERPRL
,,,,,,FINCABLES,UNICHEMLAB,,CORALFINAC,BERLDRG
,,,,,,EPL,NAVINFLUOR,,CORDSCABLE,MRP
,,,,,,SHRIRAMFIN,ISGEC,,COROMANDEL,MPILCORPL
,,,,,,VIPIND,PNB,,COSMOFIRST,SIMPLXREA
,,,,,,GNFC,JINDALSTEL,,COUNCODOS,STERPOW
,,,,,,ATUL,UCOBANK,,CPSEETF,SOFTTECH
,,,,,,ABBOTINDIA,ROLEXRINGS,,CRAFTSMAN,TARINI
,,,,,,BANKINDIA,LAURUSLABS,,CREATIVE,SIELFNS
,,,,,,GALAXYSURF,DCXINDIA,,CREATIVEYE,SIPL
,,,,,,RBLBANK,IRFC,,CREDITACC,
,,,,,,ORIENTELEC,ORIENTCEM,,CREST,BGRENERGY
,,,,,,LICHSGFIN,VARROC,,CRISIL,ESSENTIA
,,,,,,TIINDIA,ZFCVINDIA,,CROMPTON,GLAND
,,,,,,UFLEX,GAEL,,CROWN,ICICIB22
,,,,,,POWERINDIA,CLEAN,,CSBBANK,OASISEC
,,,,,,MANYAVAR,CESC,,CSLFINANCE,
,,,,,,KEC,UNIONBANK,,CTE,KATRSPG
,,,,,,MRPL,ADANIPORTS,,CUB,KAMDHENU
,,,,,,GOCOLORS,SRF,,CUBEXTUB,KHANDSE
,,,,,,ELGIEQUIP,JISLJALEQS,,CUMMINSIND,INOXWIND
,,,,,,PRINCEPIPE,GRAPHITE,,CUPID,PBAINFRA
,,,,,,JSWENERGY,LINDEINDIA,,CYBERMEDIA,NIESSPC
,,,,,,EQUITASBNK,TATAELXSI,,CYBERTECH,PMTELELIN
,,,,,,GSFC,MFL,,CYIENT,HOMEFIRST
,,,,,,FORTIS,ANANDRATHI,,DAAWAT,SUMUKA
,,,,,,SWSOLAR,CROMPTON,,DABUR,VAMSHIRU
,,,,,,TORNTPOWER,LUPIN,,DALBHARAT,ZHINDHSG
,,,,,,LAXMIMACH,NEULANDLAB,,DALMIASUG,EASTBUILD
,,,,,,JKLAKSHMI,PRUDENT,,DAMODARIND,LINKPH
,,,,,,KSB,MEDANTA,,DANGEE,MRO-TEK
,,,,,,SUPRAJIT,FIVESTAR,,DATAMATICS,DISHTV
,,,,,,SUPREMEIND,KCP,,DATAPATTNS,CSLFINANCE
,,,,,,JKPAPER,FINOPB,,DBCORP,RJBIOTECH
,,,,,,EIDPARRY,PVRINOX,,DBL,GLANCE
,,,,,,PPLPHARMA,NFL,,DBOL,
,,,,,,RENUKA,NESTLEIND,,DBREALTY,RPPINFRA
,,,,,,AEGISCHEM,ASHOKA,,DBSTOCKBRO,SPORTKING
,,,,,,DELHIVERY,SANSERA,,DCAL,ORIENTABRA
,,,,,,SONACOMS,HEMIPROP,,DCBBANK,GALAXYSURF
,,,,,,RHIM,M&MFIN,,DCI,LANCORHOL
,,,,,,CAMPUS,KIRLOSENG,,DCM,GETALONG
,,,,,,KRBL,BUTTERFLY,,DCMFINSERV,UTINIFTETF
,,,,,,,DRREDDY,,DCMNVL,SCHNEIDER
,,,,,,,KALYANKJIL,,DCMSHRIRAM,BKMINDST
,,,,,,,SUVENPHAR,,DCMSRIND,CANDOUR
,,,,,,,POKARNA,,DCW,GEMSPIN
,,,,,,,QUESS,,DCXINDIA,IFBIND
,,,,,,,UPL,,DECCANCE,INFOBEAN
,,,,,,,RAJESHEXPO,,DEEPAKFERT,JAGRAN
,,,,,,,PARAS,,DEEPAKNTR,IRFC
,,,,,,,KOTAKBANK,,DEEPENR,KCD-RE
,,,,,,,SHILPAMED,,DEEPINDS,PANCHMAHQ
,,,,,,,GLAXO,,DELHIVERY,NETLINK
,,,,,,,SANOFI,,DELPHIFX,ELAND
,,,,,,,DEEPAKNTR,,DELTACORP,SBIN
,,,,,,,CARBORUNIV,,DELTAMAGNT,SUNSHIEL
,,,,,,,FINEORG,,DEN,THAKDEV
,,,,,,,GODREJPROP,,DENORA,TRICOMFRU
,,,,,,,TCIEXP,,DEVIT,COLABCLOUD
,,,,,,,KARURVYSYA,,DEVYANI,
,,,,,,,MANINFRA,,DGCONTENT,ZENITHSTL
,,,,,,,GATEWAY,,DHAMPURSUG,BAJFINANCE
,,,,,,,TWL,,DHANBANK,AEGISLOG
,,,,,,,DEN,,DHANI,SHASHIJIT
,,,,,,,HATHWAY,,DHANUKA,ITC
,,,,,,,GTLINFRA,,DHARMAJ,SGRL
,,,,,,,LALPATHLAB,,DHRUV,TDSL
,,,,,,,ALKEM,,DHUNINV,
,,,,,,,ICICIGI,,DIAMONDYD,SPECFOOD
,,,,,,,HOMEFIRST,,DICIND,TRANSFRE
,,,,,,,PETRONET,,DIGISPICE,EMUDHRA
,,,,,,,OIL,,DIL,JINDWORLD
,,,,,,,JINDWORLD,,DISHTV,AMNPLST
,,,,,,,ZYDUSWELL,,DIVGIITTS,VIPPYSP
,,,,,,,CHOLAHLDNG,,DIVISLAB,ELECTCAST
,,,,,,,KKCL,,DIVOPPBEES,GNFC
,,,,,,,WHIRLPOOL,,DIXON,GOYALASS
,,,,,,,MOL,,DJML,KREONFIN
,,,,,,,CENTURYTEX,,DLF,UNIONBANK
,,,,,,,AAVAS,,DLINKINDIA,LAHOTIOV
,,,,,,,ACC,,DMART,MAITHANALL
,,,,,,,NUVOCO,,DMCC,MEDICAMEQ
,,,,,,,VOLTAS,,DNAMEDIA,MOM50
,,,,,,,JBCHEPHARM,,DODLA,MUKTAARTS
,,,,,,,APLLTD,,DOLATALGO,NIESSPF
,,,,,,,NIACL,,DOLLAR,IVC
,,,,,,,ADVENZYMES,,DONEAR,ROHLTD
,,,,,,,PFIZER,,DPABHUSHAN,TIRTPLS
,,,,,,,RCF,,DPSCLTD,YASHMGM
,,,,,,,TATVA,,DPWIRES,SMSLIFE
,,,,,,,360ONE,,DRCSYSTEMS,RNBDENIMS
,,,,,,,NATIONALUM,,DREAMFOLKS,SIYSIL
,,,,,,,NYKAA,,DREDGECORP,MANSIFIN
,,,,,,,MMFL,,DRREDDY,ECOHOTELS
,,,,,,,INDIANB,,DSPBANKETF,YASHRAJC
,,,,,,,SYMPHONY,,DSPN50ETF,ZWELCAST
,,,,,,,NAM-INDIA,,DSPNEWETF,
,,,,,,,DMART,,DSPQ50ETF,TANVI
,,,,,,,VRLLOG,,DSPSILVETF,NATRAJPR
,,,,,,,L&TFH,,DSSL,SOUTHBANK
,,,,,,,HINDZINC,,DTIL,BOMTALKIES
,,,,,,,RELIGARE,,DUCON,TECHNVISN
,,,,,,,FACT,,DVL,BLS
,,,,,,,TCNSBRANDS,,DWARKESH,CARBORUNIV
,,,,,,,GODREJIND,,DYCL,LORDSCHLO
,,,,,,,MAXHEALTH,,DYNAMATECH,ERIS
,,,,,,,SUPRIYA,,DYNPRO,DHINDIA
,,,,,,,HONAUT,,E2E,GUJHYSPIN
,,,,,,,AUTOAXLES,,EASEMYTRIP,HPIL
,,,,,,,IRB,,EBBETF0423,GCSL
,,,,,,,LT,,EBBETF0425,HITECH
,,,,,,,TRIVENI,,EBBETF0430,ASHIKA
,,,,,,,IDBI,,EBBETF0431,INDIANB
,,,,,,,HEROMOTOCO,,EBBETF0433,SMSPHARMA
,,,,,,,GODREJAGRO,,ECLERX,IZMO
,,,,,,,RITES,,EDELWEISS,GANESHBE
,,,,,,,IRCON,,EICHERMOT,KALLAM
,,,,,,,KIMS,,EIDPARRY,SFSL
,,,,,,,BAJFINANCE,,EIFFL,NACLIND
,,,,,,,FEDERALBNK,,EIHAHOTELS,RELHOME
,,,,,,,VINATIORGA,,EIHOTEL,RVNL
,,,,,,,ICICIBANK,,EIMCOELECO,SPIC
,,,,,,,ZOMATO,,EKC,JISLJALEQS
,,,,,,,BIKAJI,,ELDEHSG,MAYUKH
,,,,,,,SHARDACROP,,ELECON,TYROON
,,,,,,,WELENT,,ELECTCAST,ZGAEKWAR
,,,,,,,ABCAPITAL,,ELECTHERM,KJMCFIN
,,,,,,,MPHASIS,,ELGIEQUIP,HUHTAMAKI
,,,,,,,BLS,,ELGIRUBCO,UHZAVERI
,,,,,,,SJVN,,ELIN,SUPREME
,,,,,,,MAHSEAMLES,,EMAMILTD,PRSMJOHNSN
,,,,,,,AVANTIFEED,,EMAMIPAP,IDINFO
,,,,,,,TCS,,EMAMIREAL,
,,,,,,,ICICIPRULI,,EMIL,ASITCFIN
,,,,,,,REDINGTON,,EMKAY,GULFOILLUB
,,,,,,,INDUSTOWER,,EMMBI,LINDEINDIA
,,,,,,,BANKBARODA,,EMUDHRA,SUDAI
,,,,,,,NAVA,,ENDURANCE,GLOBALCA
,,,,,,,SULA,,ENERGYDEV,ANANTRAJ
,,,,,,,TATAINVEST,,ENGINERSIN,PEARLPOLY
,,,,,,,INDHOTEL,,ENIL,PFS
,,,,,,,MOIL,,EPL,WEIZMANIND
,,,,,,,IONEXCHANG,,EQUITASBNK,JAYATMA
,,,,,,,NMDC,,ERIS,TIPSFILMS
,,,,,,,KSCL,,EROSMEDIA,ARVINDFASN
,,,,,,,BAJAJCON,,ESABINDIA,VIPUL
,,,,,,,GRSE,,ESCORTS,EUROLED
,,,,,,,STYRENIX,,ESSARSHPNG,KELENRG
,,,,,,,KPRMILL,,ESSENTIA,GIPCL
,,,,,,,IPL,,ESTER,
,,,,,,,IEX,,ETHOSLTD,AVANTEL
,,,,,,,MAPMYINDIA,,EVEREADY,VIVIDM
,,,,,,,JUBLINGREA,,EVERESTIND,BROOKS
,,,,,,,VAIBHAVGBL,,EXCEL,SUPERSHAKT
,,,,,,,CARTRADE,,EXCELINDUS,AMINTAN
,,,,,,,LXCHEM,,EXIDEIND,APLLTD
,,,,,,,RATNAMANI,,EXPLEOSOL,AROGRANITE
,,,,,,,M&M,,EXXARO,MRCAGRO
,,,,,,,ACCELYA,,FACT,BGJL
,,,,,,,TIRUMALCHM,,FAIRCHEMOR,SDBL
,,,,,,,MOTHERSON,,FAZE3Q,CMSINFO
,,,,,,,OBEROIRLTY,,FCL,HLEGLAS
,,,,,,,SONATSOFTW,,FCONSUMER,DAICHI
,,,,,,,SUNDARMFIN,,FCSSOFT,DIAMINESQ
,,,,,,,INDUSINDBK,,FDC,EASTWEST
,,,,,,,GRASIM,,FEDERALBNK,FRONTCAP
,,,,,,,LEMONTREE,,FIBERWEB,GRAUWEIL
,,,,,,,JUSTDIAL,,FIEMIND,JOHNPHARMA
,,,,,,,JWL,,FILATEX,KENVI
,,,,,,,VESUVIUS,,FINCABLES,KIRLPNU
,,,,,,,BAJAJ-AUTO,,FINEORG,KJMCCORP
,,,,,,,MAHINDCIE,,FINOPB,ODYSSEY
,,,,,,,POLYCAB,,FINPIPE,MYSTICELE
,,,,,,,GAIL,,FIVESTAR,PANJON
,,,,,,,ASAHIINDIA,,FLEXITUFF,PIDILITIND
,,,,,,,SOLARINDS,,FLUOROCHEM,ANJANIFIN
,,,,,,,BHEL,,FMGOETZE,PRESSMN
,,,,,,,EASEMYTRIP,,FMNL,RAINBOWF
,,,,,,,RALLIS,,FOCUS,HATSUN
,,,,,,,APCOTEXIND,,FOODSIN,SANBLUE
,,,,,,,TTML,,FORCEMOT,SUPREMEIND
,,,,,,,NAUKRI,,FORTIS,TWIROST
,,,,,,,JYOTHYLAB,,FOSECOIND,USHDI
,,,,,,,SIEMENS,,FSL,TVSMOTOR
,,,,,,,SOUTHBANK,,FUSION,UTISENSETF
,,,,,,,UNIPARTS,,GABRIEL,NAVODAYENT
,,,,,,,SUNTECK,,GAEL,AMS
,,,,,,,FDC,,GAIL,UNIQUEO
,,,,,,,DLF,,GAL,AXELPOLY
,,,,,,,GMRINFRA,,GALAXYSURF,QUANTBUILD
,,,,,,,COSMOFIRST,,GALLANTT,TECHIN
,,,,,,,PDSL,,GANDHITUBE,HBPOR
,,,,,,,WOCKPHARMA,,GANECOS,HCG
,,,,,,,YESBANK,,GANESHBE,SEYAIND
,,,,,,,ISEC,,GANESHHOUC,JPASSOCIAT
,,,,,,,GUJALKALI,,GANGAFORGE,MASL
,,,,,,,SUMICHEM,,GANGESSECU,CUB
,,,,,,,IBULHSGFIN,,GARFIBRES,JPPOWER
,,,,,,,ESABINDIA,,GATEWAY,INDLMETER
,,,,,,,TATASTEEL,,GATI,ALBERTDA
,,,,,,,MASFIN,,GAYAHWS,RCAN
,,,,,,,TEAMLEASE,,GEECEE,ASHCAP
,,,,,,,IFBIND,,GEEKAYWIRE,BSLSENETFG
,,,,,,,THYROCARE,,GENCON,JHACC
,,,,,,,METROBRAND,,GENESYS,KLBRENG-B
,,,,,,,KENNAMET,,GENUSPAPER,TOYAMSL
,,,,,,,PAYTM,,GENUSPOWER,EUROASIA
,,,,,,,TTKPRESTIG,,GEOJITFSL,REPCOHOME
,,,,,,,ALKYLAMINE,,GEPIL,SAPPHIRE
,,,,,,,GUFICBIO,,GESHIP,WONDERLA
,,,,,,,INGERRAND,,GET&D,INDIANACRY
,,,,,,,GATI,,GFLLIMITED,DREAMFOLKS
,,,,,,,RAJRATAN,,GICHSGFIN,KMGMILK
,,,,,,,HERANBA,,GICRE,CGVAK
,,,,,,,ANDHRSUGAR,,GILLANDERS,GOVNOW
,,,,,,,JAMNAAUTO,,GILLETTE,RELAXO
,,,,,,,MANAPPURAM,,GILT5YBEES,POOJA
,,,,,,,LANDMARK,,GINNIFILA,SHAHCON
,,,,,,,SBICARD,,GIPCL,CONTAINER
,,,,,,,SUNTV,,GISOLUTION,ASWTR
,,,,,,,ROSSARI,,GKWLIMITED,AVADHSUGAR
,,,,,,,BFUTILITIE,,GLAND,CYBELEIND
,,,,,,,BALMLAWRIE,,GLAXO,GANGESSEC
,,,,,,,NHPC,,GLENMARK,JDORGOCHEM
,,,,,,,RAILTEL,,GLFL,KRSNAA
,,,,,,,VMART,,GLOBAL,OSWALEA
,,,,,,,TATAMETALI,,GLOBALVECT,MOREPENLAB
,,,,,,,BAJAJFINSV,,GLOBE,PREMSYN
,,,,,,,JKIL,,GLOBUSSPR,SANGAMIND
,,,,,,,RAYMOND,,GLS,ZENITHEXPO
,,,,,,,AMBER,,GMBREW,PANAMAPET
,,,,,,,NBCC,,GMDCLTD,DPL
,,,,,,,BALAMINES,,GMMPFAUDLR,UNIAUTO
,,,,,,,IBREALEST,,GMRINFRA,TITANSEC
,,,,,,,INDIGO,,GMRP&UI,MAANALU
,,,,,,,HINDWAREAP,,GNA,KERALAYUR
,,,,,,,LICI,,GNFC,TCPLPACK
,,,,,,,PEL,,GOACARBON,JINDALPHOT
,,,,,,,AMBUJACEM,,GOCLCORP,KOCL
,,,,,,,ZYDUSLIFE,,GOCOLORS,VARIMAN
,,,,,,,BLUESTARCO,,GODFRYPHLP,OMAXAUTO
,,,,,,,JSWSTEEL,,GODHA,GODREJPROP
,,,,,,,AARTIDRUGS,,GODREJAGRO,ZENITHHE
,,,,,,,MTARTECH,,GODREJCP,ARISINT
,,,,,,,SAIL,,GODREJIND,CRIMSON
,,,,,,,SHREECEM,,GODREJPROP,MHRIL
,,,,,,,GODFRYPHLP,,GOKEX,AIAENG
,,,,,,,GSPL,,GOKUL,PPLPHARMA
,,,,,,,INDIGOPNTS,,GOKULAGRO,ATUL
,,,,,,,HIKAL,,GOLDBEES,VALLABHSQ
,,,,,,,GRINDWELL,,GOLDIAM,VRFILMS
,,,,,,,ZENSARTECH,,GOLDSHARE,FRUTION
,,,,,,,APTUS,,GOLDTECH,MADHURIND
,,,,,,,POLYPLEX,,GOODLUCK,ELIXIR
,,,,,,,PHOENIXLTD,,GOODYEAR,MPAGI
,,,,,,,ABFRL,,GPIL,BCCL
,,,,,,,HINDALCO,,GPPL,KOPRAN
,,,,,,,HUDCO,,GPTINFRA,KMEW
,,,,,,,TINPLATE,,GRANULES,SHRIRAMFIN
,,,,,,,STAR,,GRAPHITE,HBANKETF
,,,,,,,CASTROLIND,,GRASIM,RASRESOR
,,,,,,,TATAPOWER,,GRAUWEIL,RELINFRA
,,,,,,,AETHER,,GRAVITA,PFIZER
,,,,,,,STARCEMENT,,GREAVESCOT,JUNIORBEES
,,,,,,,ULTRACEMCO,,GREENLAM,KAMADGIRI
,,,,,,,TVTODAY,,GREENPANEL,SMFIL
,,,,,,,LGBBROSLTD,,GREENPLY,CALCOM
,,,,,,,CGCL,,GREENPOWER,HERCULES
,,,,,,,JUBLFOOD,,GRINDWELL,WSIND
,,,,,,,PGEL,,GRINFRA,COUNCODOS
,,,,,,,WSTCSTPAPR,,GRMOVER,BIOCON
,,,,,,,MAHLOG,,GROBTEA,NIEHSPI
,,,,,,,FINCABLES,,GRSE,JAYCH
,,,,,,,KTKBANK,,GRWRHITECH,DALBHARAT
,,,,,,,MARUTI,,GSCLCEMENT,NIESSPO
,,,,,,,SHAREINDIA,,GSFC,ASAHISONG
,,,,,,,IDFCFIRSTB,,GSPL,OCTAWARE
,,,,,,,AUBANK,,GSS,SPARC
,,,,,,,SHYAMMETL,,GTL,FISCHER
,,,,,,,NETWORK18,,GTLINFRA,JAMSHRI
,,,,,,,GARFIBRES,,GTPL,NARBADA
,,,,,,,DOLLAR,,GUFICBIO,BAROEXT
,,,,,,,CSBBANK,,GUJALKALI,PCCOSMA
,,,,,,,OPTIEMUS,,GUJAPOLLO,GAEL
,,,,,,,SEQUENT,,GUJGASLTD,HEXATRADEX
,,,,,,,GNFC,,GULFOILLUB,SIMPLEXINF
,,,,,,,BARBEQUE,,GULFPETRO,SURATEX
,,,,,,,JUBLPHARMA,,GULPOLY,GARWSYN
,,,,,,,ENGINERSIN,,GVKPIL,NH
,,,,,,,TATASTLLP,,HAL,KIRANVYPAR
,,,,,,,TV18BRDCST,,HAPPSTMNDS,SEATV
,,,,,,,VIJAYA,,HARDWYN,TUNITEX
,,,,,,,PRSMJOHNSN,,HARIOMPIPE,BAJAJHLDNG
,,,,,,,VENKEYS,,HARRMALAYA,TMTIND-B1
,,,,,,,RPOWER,,HARSHA,SALEM
,,,,,,,MMTC,,HATHWAY,WELINV
,,,,,,,ROUTE,,HATSUN,WESTLIFE
,,,,,,,IDFC,,HAVELLS,NIESSPH
,,,,,,,COLPAL,,HBANKETF,UDAICEMENT
,,,,,,,EPL,,HBLPOWER,LLOYDSTEEL
,,,,,,,DEVYANI,,HBSL,INFRONICS
,,,,,,,DEEPAKFERT,,HCC,BENARA
,,,,,,,CERA,,HCG,VXLINSTR
,,,,,,,STARHEALTH,,HCL-INSYS,IRCTC
,,,,,,,SPLPETRO,,HCLTECH,HELPAGE
,,,,,,,MANYAVAR,,HDFC,PUROHITCON
,,,,,,,UJJIVANSFB,,HDFCAMC,HASJUICE
,,,,,,,STLTECH,,HDFCBANK,POLYMAC
,,,,,,,ABBOTINDIA,,HDFCBSE500,PARMCOS-B
,,,,,,,ATUL,,HDFCGROWTH,HAL
,,,,,,,MEDPLUS,,HDFCLIFE,INDRANIB
,,,,,,,RAMCOCEM,,HDFCLOWVOL,MOSCHIP
,,,,,,,COALINDIA,,HDFCMFGETF,RAILTEL
,,,,,,,CENTURYPLY,,HDFCMID150,UNITDCR
,,,,,,,VIPIND,,HDFCMOMENT,SHANTIGEAR
,,,,,,,ORIENTELEC,,HDFCNEXT50,BIGBLOC
,,,,,,,GALAXYSURF,,HDFCNIF100,BLAL
,,,,,,,EMAMILTD,,HDFCNIFETF,CANOPYFIN
,,,,,,,MANALIPETC,,HDFCNIFIT,DAVANGERE
,,,,,,,ITC,,HDFCPVTBAN,BIMETAL
,,,,,,,SHRIRAMFIN,,HDFCQUAL,CGPOWER
,,,,,,,LICHSGFIN,,HDFCSENETF,GUJCRED
,,,,,,,POWERGRID,,HDFCSILVER,JAYUSH
,,,,,,,BANKINDIA,,HDFCSML250,EVERESTO
,,,,,,,GREAVESCOT,,HDFCVALUE,GUJINJEC
,,,,,,,SOLARA,,HEADSUP,GGAUTO
,,,,,,,JTEKTINDIA,,HEALTHY,GIANLIFE
,,,,,,,POWERINDIA,,HECPROJECT,GRASIM
,,,,,,,MIDHANI,,HEG,HDFCNIF100
,,,,,,,RELIANCE,,HEIDELBERG,HINDZINC
,,,,,,,EVEREADY,,HEMIPROP,HUBTOWN
,,,,,,,NTPC,,HERANBA,
,,,,,,,PCJEWELLER,,HERCULES,HOVS
,,,,,,,SIYSIL,,HERITGFOOD,INFLAME
,,,,,,,KEC,,HEROMOTOCO,J&KBANK
,,,,,,,TIINDIA,,HESTERBIO,JOSTS
,,,,,,,RBLBANK,,HEUBACHIND,MRF
,,,,,,,EMIL,,HEXATRADEX,PARKERAC
,,,,,,,AKZOINDIA,,HFCL,IDFCFIRSTB
,,,,,,,UFLEX,,HGINFRA,PUNJCOMMU
,,,,,,,HDFCBANK,,HGS,RTNINDIA
,,,,,,,HAL,,HIKAL,SHISHIND
,,,,,,,ONGC,,HIL,SHIVAMAUTO
,,,,,,,HDFC,,HIMATSEIDE,SNIM
,,,,,,,CARERATING,,HINDALCO,HUIL
,,,,,,,GOCOLORS,,HINDCOMPOS,
,,,,,,,MRPL,,HINDCON,TIIL
,,,,,,,SSWL,,HINDCOPPER,SWASTIVI
,,,,,,,JCHAC,,HINDMOTORS,TLL
,,,,,,,JSWENERGY,,HINDOILEXP,VARROC
,,,,,,,PRINCEPIPE,,HINDPETRO,WINDMACHIN
,,,,,,,ASTEC,,HINDUNILVR,TATACOFFEE
,,,,,,,GSFC,,HINDWAREAP,MANCREDIT
,,,,,,,EQUITASBNK,,HINDZINC,ZNIVITRD
,,,,,,,SYRMA,,HIRECT,PTIL
,,,,,,,CHENNPETRO,,HISARMETAL,
,,,,,,,FORTIS,,HITECH,JUPITERIN
,,,,,,,USHAMART,,HITECHCORP,LIBORDFIN
,,,,,,,TORNTPOWER,,HITECHGEAR,KAPILCO
,,,,,,,UJJIVAN,,HLEGLAS,SARDAEN
,,,,,,,ELGIEQUIP,,HLVLTD,EMAMILTD
,,,,,,,VEDL,,HMVL,SEASONST
,,,,,,,LAXMIMACH,,HNDFDS,KACL
